TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
1.E-03, -1.327979406E-11, -2.655893072E-05, 2.346919134E-13, 4.693722088E-07, 3.660671443E-14, 7.321161669E-08, 5.527004694E-15, 1.105373578E-08
2.E-03, -6.87369491E-11, -5.77963198E-05, 2.475045314E-12, 3.541897718E-06, 4.50513905E-13, 6.813778704E-07, 8.705257794E-14, 1.409407281E-07
3.E-03, -3.449538449E-11, 2.371862024E-04, 1.182061417E-11, 1.066848485E-05, 2.503561988E-12, 2.596882794E-06, 6.155424921E-13, 7.529786395E-07
4.E-03, 8.138377067E-10, 1.390983E-03, 3.566997062E-11, 1.833912425E-05, 8.450329548E-12, 5.190560075E-06, 2.57438583E-12, 2.107718955E-06
5.E-03, 4.839225683E-09, 4.963080487E-03, 8.560831277E-11, 3.383862011E-05, 2.0040891E-11, 6.09706563E-06, 7.100141106E-12, 3.026124791E-06
6.E-03, 1.941184988E-08, 1.613124929E-02, 1.993133686E-10, 9.369393196E-05, 3.755813855E-11, 5.756300267E-06, 1.38601382E-11, 1.442401302E-06
7.E-03, 5.928751467E-08, 3.447479413E-02, 4.710539545E-10, 2.223762825E-04, 6.172178347E-11, 7.53644816E-06, 2.104334754E-11, -5.96007164E-07
8.E-03, 1.304918917E-07, 2.818327714E-02, 1.037345219E-09, 3.667255148E-04, 9.506955276E-11, 1.083180846E-05, 2.922105886E-11, 2.584911689E-06
9.E-03, 1.958709157E-07, -3.983308931E-02, 1.934145684E-09, 2.942978217E-04, 1.399789816E-10, 1.229154828E-05, 4.254223349E-11, 7.70206446E-06
1.E-02, 1.88852631E-07, -0.104962476, 2.678434205E-09, -5.993062202E-04, 1.93649169E-10, 5.230142999E-06, 6.197337278E-11, 4.51802178E-06
1.1E-02, 1.071889928E-07, -4.433041544E-02, 1.630866197E-09, -2.984385105E-03, 2.394072086E-10, -2.105413347E-05, 8.305517273E-11, -1.216791126E-06
1.2E-02, 3.309373732E-08, 5.946825337E-02, -4.111608048E-09, -6.405423029E-03, 2.429116549E-10, -6.345295356E-05, 1.045060387E-10, 1.954791545E-06
1.3E-02, -1.37879888E-08, -5.038079855E-03, -1.749874605E-08, -8.88393207E-03, 1.523904238E-10, -1.245980347E-04, 1.288392797E-10, 3.810120198E-06
1.4E-02, -1.334994553E-07, -0.140622695, -3.98189185E-08, -8.982168695E-03, -1.057618283E-10, -2.106637496E-04, 1.556847469E-10, 1.214283829E-06
1.5E-02, -3.769397634E-07, -0.106837912, -7.040776431E-08, -7.555184551E-03, -5.757009838E-10, -2.129123846E-04, 1.868277526E-10, 7.380623746E-06
1.6E-02, -6.746200599E-07, -1.640965918E-03, -1.068841249E-07, -4.219885883E-03, -1.121927324E-09, 6.033347723E-05, 2.253049727E-10, 7.288126139E-06
