TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
1.E-03, 2.361868999E-15, 4.723621077E-09, 3.414301561E-16, 6.828434102E-10, 2.951493117E-17, 5.902840125E-11
2.E-03, 4.358884572E-14, 7.300513576E-08, 7.501556922E-15, 1.295427953E-08, 7.312517668E-16, 1.285387945E-09
3.E-03, 3.677282579E-13, 4.928124638E-07, 7.560943447E-14, 1.089394148E-07, 8.418150346E-15, 1.268471065E-08
4.E-03, 1.876493735E-12, 1.876422937E-06, 4.609792578E-13, 5.255783113E-07, 5.960260514E-14, 7.430937902E-08
5.E-03, 6.4744424E-12, 4.301934046E-06, 1.886244981E-12, 1.554204383E-06, 2.89492979E-13, 2.830998189E-07
6.E-03, 1.608653988E-11, 5.726397573E-06, 5.432960749E-12, 2.688702012E-06, 1.018714299E-12, 7.155591245E-07
7.E-03, 3.034280569E-11, 3.561994608E-06, 1.127039918E-11, 1.892784918E-06, 2.676511353E-12, 1.141595393E-06
8.E-03, 4.653949257E-11, 3.188197962E-07, 1.719476317E-11, -1.718904879E-06, 5.351523163E-12, 8.928478324E-07
9.E-03, 6.39893575E-11, 2.187436971E-06, 2.072609441E-11, -3.067244996E-06, 8.32224215E-12, -3.014235156E-07
1.E-02, 8.61027291E-11, 7.139597421E-06, 2.454052472E-11, 3.633326597E-06, 1.059512423E-11, -1.094270009E-06
1.1E-02, 1.146307155E-10, 5.68977009E-06, 3.501766076E-11, 9.692214982E-06, 1.244928966E-11, 2.568029637E-07
1.2E-02, 1.451479161E-10, -1.711329698E-06, 5.053109207E-11, 3.806284888E-07, 1.560693109E-11, 2.350163762E-06
1.3E-02, 1.727565763E-10, -4.105886883E-06, 6.052810932E-11, -1.141364308E-05, 2.063339602E-11, 1.387544442E-06
1.4E-02, 2.006368963E-10, 4.649063774E-06, 6.446197926E-11, -7.130255634E-07, 2.527776057E-11, -2.151741429E-06
1.5E-02, 2.38529637E-10, 1.537586878E-05, 7.429479766E-11, 1.251122662E-05, 2.76198007E-11, -2.452991252E-06
1.6E-02, 2.861095945E-10, 3.999022467E-06, 9.019401698E-11, -3.780765306E-07, 2.992107642E-11, 2.371417728E-06
1.7E-02, 3.269051711E-10, -1.756798058E-05, 1.033613907E-10, -5.086158459E-06, 3.613772125E-11, 5.459407306E-06
1.8E-02, 3.634147127E-10, 8.994911655E-06, 1.20869481E-10, 1.376754131E-05, 4.517644662E-11, 1.848756813E-07
1.9E-02, 4.277922708E-10, 4.674182354E-05, 1.465476542E-10, 2.573417656E-06, 5.080147478E-11, -7.012342022E-06
2.E-02, 5.176530881E-10, 4.225993528E-06, 1.650641192E-10, -1.689740669E-05, 5.267593496E-11, -4.890630471E-07
2.1E-02, 6.013000946E-10, -1.665542367E-05, 1.828026436E-10, 1.534080686E-05, 6.140823959E-11, 1.420481348E-05
2.2E-02, 7.066632849E-10, 6.008714749E-05, 2.201187138E-10, 2.381557746E-05, 8.066497612E-11, 6.844535913E-06
2.3E-02, 8.614673396E-10, 3.879763893E-05, 2.607522048E-10, -1.718077849E-05, 9.614445177E-11, -1.439918999E-05
2.4E-02, 1.00084439E-09, -6.965248765E-05, 2.9587506E-10, 6.157956231E-06, 1.029067817E-10, -3.035778763E-06
2.5E-02, 1.080051022E-09, -5.069067921E-05, 3.512682849E-10, 3.438418207E-05, 1.180693154E-10, 1.983656529E-05
2.6E-02, 1.090758215E-09, -8.630456407E-05, 4.104222761E-10, -2.686180591E-05, 1.438488886E-10, 1.398164604E-06
2.7E-02, 9.094773274E-10, -2.976708089E-04, 4.44684042E-10, -2.292508495E-05, 1.639229716E-10, -1.280988775E-05
